facilityCd|description__ENG|description__ID
61001|Single bed 90-130 width|Ranjang Single selebar 90-130
62001|Single bed 90-130 width|Ranjang Single selebar 90-130
85001|Gay-friendly|Bersahabat pada kaum gay
100010|1|1
20010|Hotel|Hotel
30010|American Express|American Express
40010|City centre|Pusat kota
60010|Bathroom|Kamar mandi
70010|Air conditioning in public areas|AC di area publik
10100|Suites|Suite
60100|Internet access|Akses internet
70100|Supermarket|Supermarket
80100|Set menu dinner|Makan malam menu set
70011|Fireplace|Perapian
80011|Breakfast and dinner|Sarapan dan makan malam
10110|Apartments|Apartemen
30110|EuroCard|EuroCard
60110|Kitchenette|Dapur kecil
70110|Shop|Toko
60111|Kitchen utensils, plates & cups|Peralatan dapur, piring, & cangkir
80114|Snacks|Makanan ringan
10115|Studios|Studio
30115|Euro 6000|Euro 6000
60115|Kitchen|Dapur
70012|Smoke detector|Detektor asap
80012|Breakfast and lunch|Sarapan dan makan siang
10120|Bungalows|Bungalo
60120|Minibar|Minibar
74120|Hairdressing salon|Salon pemangkas rambut
10123|Villas|Vila
10124|Disability-friendly rooms|Kamar ramah penyandang cacat
40125|Entertainment Area|Area Hiburan
70125|Garden|Taman
10126|Triple rooms|Kamar triple
10127|Quadruple rooms|Kamar quadruple
10128|Executive rooms|Kamar eksekutif
10129|Superior rooms|Kamar superior
40130|Golf course|Lapangan golf
60130|Fridge|Lemari es
71130|Bar|Bar
80130|Special dietary options|Opsi makanan khusus
85130|Flight information required|Informasi penerbangan wajib
10131|Family rooms|Kamar keluarga
10132|Twin rooms|Twin room
60135|Mini fridge|Lemari es mini
70135|Terrace|Teras
60137|Cooker|Penanak nasi
60140|Microwave|Microwave
73140|Pub|Pub
60143|Tea and coffee making facilities |Fasilitas untuk membuat teh dan kopi
40145|Bus/Train station|Terminal bus/stasiun kereta
60145|Washing machine|Mesin cuci
60147|Ironing set|Perlengkapan menyetrika
61150|Double bed 131-150 width|Ranjang Double selebar 131-150
62150|Double bed 131-150 width|Ranjang Double selebar 131-150
73150|Nightclub|Klub malam
61155|King-size bed 150-183 width|Ranjang King-size selebar 150-183
62155|King-size bed 150-183 width|Ranjang King-size selebar 150-183
20160|Hostel|Hostel
40160|Ski slopes|Lereng ski
60160|Carpeted floors|Lantai berkarpet
73160|Theatre / auditorium|Bioskop / auditorium
80160|Early bird breakfast|Sarapan dini
90160|Banana boating|Perahu pisang
60170|Centrally regulated air conditioning|AC yang diatur secara terpusat
72170|Conference room|Ruang konferensi
80170|Late riser breakfast|Sarapan untuk tamu yang bangun terlambat
90170|Waterskiing|Ski air
60180|Individually adjustable air conditioning|AC yang dapat disesuaikan sendiri-sendiri
73180|Casino|Kasino
80180|Hot breakfast|Sarapan panas
90180|Jet ski|Jet ski
60190|Central heating|Pemanas sentral
73190|Game room|Ruang permainan
90190|Motor board ride|Wahana papan motor
73193|TV lounge|Lounge TV
60195|Individually adjustable heating |Pemanas yang dapat disesuaikan sendiri-sendiri
85002|Naturist|Nudis
10020|Year of construction|Tahun konstruksi
100020|2|2
30020|EC|EC
40020|Nearest Bus / Metro Stop|Halte Bus / Metro Terdekat
60020|Shower|Shower
60200|Safe|Brankas
71200|Restaurant|Restoran
80200|Breakfast served to the table|Sarapan yang disajikan di meja
90200|Diving|Menyelam
85203|Only Adults|Khusus Dewasa
70210|Key Collection|Pengambilan Kunci
80210|Picnic|Piknik
90210|Windsurfing|Selancar angin
20220|Lodge|Pondok
60220|Living room|Ruang tamu
71220|Non-smoking area|Area bebas rokok
80220|Brunch|Makan agak siang
90220|Sailing|Berlayar
71225|Smoking area|Area merokok
60230|Balcony|Balkon
71230|Highchairs|Kursi tinggi
80230|Gluten-free meals |Makanan bebas gluten
90230|Catamaran sailing|Berlayar katamaran
60240|Terrace|Teras
70240|Mobile phone coverage|Jangkauan ponsel
80240|No alcohol is served|Tidak ada minuman beralkohol yang disajikan
90240|Canoeing|Berkano
20025|Apartment hotel|Hotel apartemen
20250|Campsite|Perkemahan
60250|Wheelchair-accessible|Dapat diakses dengan kursi roda
70250|Wired Internet|Internet berkabel
80250|Vegetarian meal|Makanan vegetarian
90250|Pedal boating|Berperahu kayu
80251|Half board without drinks|Paket half-board (paket setengah) tanpa minuman
80252|Half board with non-alcoholic drinks|Paket half-board (paket setengah) dengan minuman non-alkohol
80253|Half board with drinks|Paket half-board (paket setengah) dengan minuman
80254|Full board without drinks|Paket full-board (paket lengkap) tanpa minuman
80255|Full board with non-alcoholic drinks|Paket full-board (paket lengkap) dengan minuman non-alkohol
80256|Full board with drinks|Paket full-board (paket lengkap) dengan minuman
80257|All inclusive without drinks|Paket lengkap tanpa minuman
80258|All inclusive with non-alcoholic drinks|Paket lengkap dengan minuman non-alkohol
80259|All inclusive with alcoholic drinks own brands|Paket lengkap dengan minuman beralkohol merek sendiri
20260|Botel|Botel
60260|Disability-friendly bathroom|Kamar mandi ramah penyandang cacat
70260|Check-in hour|Jam check-in
80260|All inclusive with alcoholic drinks top brands|Paket lengkap dengan minuman beralkohol merek ternama
90260|Table tennis|Tenis meja
60261|Wi-fi|Wi-fi
80261|Full board|Paket Full Board
60262|Wake-up service|Layanan bangun tidur
80262|Half Board|Paket Half Board
60263|Pillow menu|Menu bantal
