facilityCd|description__ENG|description__ID
611|Single bed 90-130 width|Ranjang Single selebar 90-130
621|Single bed 90-130 width|Ranjang Single selebar 90-130
851|Gay-friendly|Bersahabat pada kaum gay
10010|1|1
2010|Hotel|Hotel
3010|American Express|American Express
4010|City centre|Pusat kota
6010|Bathroom|Kamar mandi
7010|Air conditioning in public areas|AC di area publik
10100|Suites|Suite
60100|Internet access|Akses internet
70100|Supermarket|Supermarket
80100|Set menu dinner|Makan malam menu set
7011|Fireplace|Perapian
8011|Breakfast and dinner|Sarapan dan makan malam
10110|Apartments|Apartemen
30110|EuroCard|EuroCard
60110|Kitchenette|Dapur kecil
70110|Shop|Toko
60111|Kitchen utensils, plates & cups|Peralatan dapur, piring, & cangkir
80114|Snacks|Makanan ringan
10115|Studios|Studio
30115|Euro 6000|Euro 6000
60115|Kitchen|Dapur
7012|Smoke detector|Detektor asap
8012|Breakfast and lunch|Sarapan dan makan siang
10120|Bungalows|Bungalow
60120|Minibar|Minibar
74120|Hairdressing salon|Salon
10123|Villas|Vila
10124|Disability-friendly rooms|Kamar ramah penyandang cacat
40125|Entertainment Area|Area Hiburan
70125|Garden|Taman
10126|Triple rooms|Kamar triple
10127|Quadruple rooms|Kamar quadruple
10128|Executive rooms|Kamar eksekutif
10129|Superior rooms|Kamar superior
40130|Golf course|Lapangan golf
60130|Fridge|Lemari es
71130|Bar|Bar
80130|Special dietary options|Opsi makanan khusus
85130|Flight information required|Informasi penerbangan dibutuhkan
10131|Family rooms|Kamar keluarga
10132|Twin rooms|Twin room
60135|Mini fridge|Lemari es mini
70135|Terrace|Teras
60137|Cooker|Penanak nasi
60140|Microwave|Microwave
73140|Pub|Pub
60143|Tea and coffee making facilities|Fasilitas untuk membuat teh dan kopi
40145|Bus/Train station|Terminal bus/stasiun kereta
60145|Washing machine|Mesin cuci
60147|Ironing set|Perlengkapan menyetrika
61150|Double bed 131-150 width|Ranjang Double selebar 131-150
62150|Double bed 131-150 width|Ranjang Double selebar 131-150
73150|Nightclub|Klub malam
61155|King-size bed 150-183 width|Ranjang King-size selebar 150-183
62155|King-size bed 150-183 width|Ranjang King-size selebar 150-183
20160|Hostel|Hostel
40160|Ski slopes|Lereng ski
60160|Carpeted floors|Lantai berkarpet
73160|Theatre / auditorium|Bioskop / auditorium
80160|Early bird breakfast|Sarapan dini
90160|Banana boat|Banana Boat
60170|Centrally regulated air conditioning|AC terpusat
72170|Conference room|Ruang konferensi
